95.217.109.26 bot - "2026-02-02 02:14:16" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
34.10.64.2 - - "2026-02-02 04:47:38" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
34.10.64.2 - - "2026-02-02 04:47:53" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
34.10.64.2 - - "2026-02-02 04:47:56" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
103.186.31.45 bot - "2026-02-02 09:28:47" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:48" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:48" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:48" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:49" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:49" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:49" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:51" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:51" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-02 09:28:51" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
