43.173.172.157 - - "2026-02-07 06:09:31" https://journals.cbsua.edu.ph/index.php/Journals/issue/view/1 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
43.173.169.44 - - "2026-02-07 06:13:24" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
47.82.11.88 - - "2026-02-07 07:58:24" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
66.132.153.123 - - "2026-02-07 14:03:28" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
51.75.151.149 - - "2026-02-07 14:20:41" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
103.186.31.45 bot - "2026-02-07 19:26:30" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:31" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:31" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:31" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:32" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:32" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:32" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:33" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:33" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:33" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:34" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:34" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:34" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:34" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:35" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:35" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:35" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:37" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:37" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:37" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:37" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:38" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:38" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:38" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:39" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:39" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:39" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:40" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:40" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:40" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:40" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:41" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:41" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:41" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:42" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:42" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:42" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
103.186.31.45 bot - "2026-02-07 19:26:43" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "python-requests/2.32.5"
