66.249.66.198 bot - "2026-06-12 05:28:07" https://journals.cbsua.edu.ph/index.php/Journals/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
51.89.39.36 - - "2026-06-12 06:26:26" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0"
103.120.170.88 - - "2026-06-12 08:10:35" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 08:10:35" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 08:10:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 08:10:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 09:04:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 09:04:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 09:04:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
103.120.170.88 - - "2026-06-12 09:04:36" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
66.249.66.196 bot - "2026-06-12 11:12:21" https://journals.cbsua.edu.ph/index.php/Journals/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
185.234.72.226 - - "2026-06-12 11:45:24" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
40.77.167.121 bot - "2026-06-12 18:14:17" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.66.197 bot - "2026-06-12 18:37:11" https://journals.cbsua.edu.ph/index.php/Journals/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
74.7.227.160 bot - "2026-06-12 19:08:50" https://journals.cbsua.edu.ph/index.php/Journals/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.4; +https://openai.com/gptbot)"
74.7.227.160 bot - "2026-06-12 19:09:03" https://journals.cbsua.edu.ph/index.php/Journals/article/view/2 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.4; +https://openai.com/gptbot)"
74.7.227.160 bot - "2026-06-12 19:09:08" https://journals.cbsua.edu.ph/index.php/Journals/article/view/1 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.4; +https://openai.com/gptbot)"
66.249.66.197 bot - "2026-06-12 23:15:02" https://journals.cbsua.edu.ph/index.php/Journals/article/view/2 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
